TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife,SecondHandImportFlag,note
174,1,3,2,1,18,1,2030,2034,0,6.117434978,,1,15000,1,5,12,0,
175,1,3,2,1,19,1,2035,2039,0,5.672185898,,1,15000,1,5,12,0,
176,1,3,2,1,20,1,2040,2044,0,5.259345055,,1,15000,1,5,12,0,
177,1,3,2,1,21,1,2045,,0,4.876552105,,1,15000,1,5,12,0,
181,1,3,2,1,6,1,2005,2008,0,8.856971741,,1,15000,1,5,12,0,
190,1,3,3,1,1,1,1980,1991,0,10.49903011,,0,22000,1,5,12,0,
191,1,3,3,1,14,1,2009,2014,2,4.994109154,30,1,32500,1,5,12,0,
192,1,3,3,1,15,1,2015,2019,2,4.655416012,28,1,30000,1,5,12,0,
193,1,3,3,1,16,1,2020,2024,2,4.320868969,26,1,27500,1,5,12,0,
194,1,3,3,1,17,1,2025,2029,2,4.006381035,24,1,25000,1,5,12,0,
195,1,3,3,1,18,1,2030,2034,2,3.714782953,22,1,24000,1,5,12,0,
196,1,3,3,1,19,1,2035,2039,2,3.44440794,20,1,24000,1,5,12,0,
197,1,3,3,1,20,1,2040,2044,2,3.193711996,18,1,24000,1,5,12,0,
198,1,3,3,1,21,1,2045,,2,3.004040956,16,1,24000,1,5,12,0,
200,1,3,3,1,14,1,2009,2014,0,10.3073101,,1,22000,1,5,12,0,
201,1,3,3,1,16,1,2020,2024,0,8.78205204,,1,22000,1,5,12,0,
202,1,3,3,1,17,1,2025,2029,0,8.142864227,,1,22000,1,5,12,0,
203,1,3,3,1,18,1,2030,2034,0,7.550198078,,1,22000,1,5,12,0,
204,1,3,3,1,19,1,2035,2039,0,7.000668049,,1,22000,1,5,12,0,
205,1,3,3,1,20,1,2040,2044,0,6.49113512,,1,22000,1,5,12,0,
206,1,3,3,1,21,1,2045,,0,6.018686771,,1,22000,1,5,12,0,
210,1,3,3,1,3,1,1992,1995,0,10.98211002,,0,22000,1,5,12,0,
220,1,3,3,1,4,1,1996,1999,0,11.6663599,,0,22000,1,5,12,0,
230,1,3,3,1,5,1,2000,2004,0,11.7094202,,1,22000,1,5,12,0,
240,1,3,3,1,6,1,2005,2008,0,10.93136024,,1,22000,1,5,12,0,
245,1,3,3,1,15,1,2015,2019,0,9.462327003,,1,22000,1,5,12,0,
250,1,3,2,2,1,1,1980,1991,0,5.594795227,,0,18000,1,5,12,0,
251,1,3,2,2,15,1,2015,2019,0,5.012934208,,1,16200,1,5,12,0,
252,1,3,2,2,16,1,2020,2024,0,4.652540207,,1,15750,1,5,12,0,
253,1,3,2,2,17,1,2025,2029,0,4.313911915,,1,15750,1,5,12,0,
254,1,3,2,2,18,1,2030,2034,0,3.999929905,,1,15750,1,5,12,0,
255,1,3,2,2,19,1,2035,2039,0,3.708801031,,1,15750,1,5,12,0,
256,1,3,2,2,20,1,2040,2044,0,3.438862085,,1,15750,1,5,12,0,
257,1,3,2,2,21,1,2045,,0,3.188569069,,1,15750,1,5,12,0,
260,1,3,2,2,14,1,2009,2014,0,5.460587978,,1,16500,1,5,12,0,
261,1,3,2,8,7,1,1995,2009,0,6.290275097,,1,22000,1,5,12,0,
265,1,3,1,2,14,1,2009,2014,0,4.914528847,,1,11000,1,5,12,0,
266,1,3,1,2,15,1,2015,2019,0,4.511641026,,1,10800,1,5,12,0,
267,1,3,1,2,16,1,2020,2024,0,4.187286854,,1,10500,1,5,12,0,
268,1,3,1,2,17,1,2025,2029,0,3.882520914,,1,10500,1,5,12,0,
269,1,3,1,2,18,1,2030,2034,0,3.599936962,,1,10500,1,5,12,0,
270,1,3,2,2,3,1,1992,1995,0,5.832780838,,0,18000,1,5,12,0,
271,1,3,1,2,19,1,2035,2039,0,3.337922096,,1,10500,1,5,12,0,
272,1,3,1,2,20,1,2040,2044,0,3.094975948,,1,10500,1,5,12,0,
273,1,3,1,2,21,1,2045,,0,2.869712114,,1,10500,1,5,12,0,
275,1,3,1,12,6,1,2005,2008,0,11.79426003,,2,25000,1,5,12,0,
276,1,3,1,12,14,1,2009,2014,0,11.10237026,,2,23000,1,5,12,0,
277,1,3,1,13,13,1,2020,2029,0,26.08235931,,2,40000,1,5,12,0,
278,1,3,1,13,13,1,2030,,0,20.24850082,,2,30000,1,5,12,0,
280,1,3,2,2,4,1,1996,1999,0,5.867432117,,0,18000,1,5,12,0,
290,1,3,2,2,5,1,2000,2004,0,6.20339489,,0,18000,1,5,12,0,
291,1,3,2,8,8,1,2010,2024,0,5.022987843,,1,20000,1,5,12,0,
292,1,3,2,8,9,1,2025,,0,3.725771904,,1,18000,1,5,12,0,
295,1,3,1,2,5,1,2000,2004,0,5.583055019,,1,12000,1,5,12,0,
300,1,3,2,2,6,1,2005,2008,0,5.791195869,,1,16950,1,5,12,0,
302,1,3,2,1,6,1,2005,2008,1,5.361393929,,2,25000,1,5,12,0,
305,1,3,1,2,6,1,2005,2008,0,5.212077141,,1,11300,1,5,12,0,
310,1,3,3,2,1,1,1980,1991,0,7.107723236,,0,25000,1,5,12,0,
320,1,3,2,1,14,1,2009,2014,1,5.057202816,,2,22000,1,5,12,0,
321,1,3,2,1,15,1,2015,2019,1,4.642618179,,2,20000,1,5,12,0,
322,1,3,2,1,16,1,2020,2024,1,4.308847904,,2,18000,1,5,12,0,
323,1,3,2,1,17,1,2025,2029,1,3.995234966,,2,18000,1,5,12,0,
324,1,3,2,1,18,1,2030,2034,1,3.704447985,,2,18000,1,5,12,0,
325,1,3,2,1,19,1,2035,2039,1,3.434824944,,2,18000,1,5,12,0,
326,1,3,2,1,20,1,2040,2044,1,3.184825897,,2,18000,1,5,12,0,
327,1,3,2,1,21,1,2045,,1,2.953022957,,2,18000,1,5,12,0,
330,1,3,3,2,3,1,1992,1995,0,7.406951904,,0,25000,1,5,12,0,
340,1,3,3,2,4,1,1996,1999,0,7.326931953,,0,25000,1,5,12,0,
350,1,3,3,2,5,1,2000,2004,0,7.968914986,,0,25000,1,5,12,0,
351,1,3,3,8,7,1,1995,2009,0,9.258893013,,1,32000,1,5,12,0,
360,1,3,3,2,6,1,2005,2008,0,7.439403057,,1,24860,1,5,12,0,
361,1,3,3,8,8,1,2010,2024,0,7.46905899,,1,28000,1,5,12,0,
362,1,3,3,1,6,1,2005,2008,1,6.611383915,,2,35000,1,5,12,0,
363,1,3,3,2,14,1,2009,2014,0,7.01470089,,1,24200,1,5,12,0,
364,1,3,1,12,15,1,2015,2019,0,10.13988018,,2,20000,1,5,12,0,
365,1,3,3,13,13,1,2015,2029,0,43.47058868,,2,44000,1,5,12,0,
366,1,3,3,2,15,1,2015,2019,0,6.439641953,,1,23760,1,5,12,0,
367,1,3,3,2,16,1,2020,2024,0,5.976677895,,1,23100,1,5,12,0,
368,1,3,3,2,17,1,2025,2029,0,5.541675091,,1,23100,1,5,12,0,
369,1,3,3,2,18,1,2030,2034,0,5.13833189,,1,23100,1,5,12,0,
370,1,3,3,2,19,1,2035,2039,0,4.764347076,,1,23100,1,5,12,0,
371,1,3,3,2,20,1,2040,2044,0,4.417581081,,1,23100,1,5,12,0,
372,1,3,3,2,21,1,2045,,0,4.096054077,,1,23100,1,5,12,0,
373,1,3,3,8,9,1,2025,,0,5.541853905,,1,26000,1,5,12,0,
375,1,3,1,12,16,1,2020,2024,0,9.401866913,,2,16000,1,5,12,0,
376,1,3,3,13,13,1,2030,,0,29.73477936,,2,33000,1,5,12,0,
377,1,3,1,12,17,1,2025,2029,0,8.717565536,,2,14000,1,5,12,0,
378,1,3,2,13,13,1,2030,,0,33.747509,,2,40000,1,5,12,0,
380,1,3,1,12,18,1,2030,2034,0,8.083071709,,2,12000,1,5,12,0,
381,1,3,1,12,19,1,2035,2039,0,7.494758129,,2,12000,1,5,12,0,
385,1,3,3,7,6,1,2005,2008,0,14.51622009,,1,26000,1,5,12,0,
386,1,3,3,7,14,1,2009,2014,0,14.6333704,,1,26000,1,5,12,0,
387,1,3,3,7,15,1,2015,2019,0,12.44384956,,1,25000,1,5,12,0,
388,1,3,3,7,16,1,2020,2024,0,11.53814983,,1,25000,1,5,12,0,
389,1,3,3,7,17,1,2025,2029,0,10.69836044,,1,25000,1,5,12,0,
390,1,3,3,7,18,1,2030,2034,0,9.919692993,,1,25000,1,5,12,0,
391,1,3,3,7,19,1,2035,2039,0,9.197705269,,1,25000,1,5,12,0,
392,1,3,3,7,20,1,2040,2044,0,8.528261185,,1,25000,1,5,12,0,
393,1,3,3,7,21,1,2045,,0,7.907546997,,1,25000,1,5,12,0,
400,1,3,3,1,14,1,2009,2014,1,6.240232944,,2,32500,1,5,12,0,
401,1,3,3,1,15,1,2015,2019,1,5.729963779,,2,30000,1,5,12,0,
402,1,3,3,1,16,1,2020,2024,1,5.318020821,,2,27500,1,5,12,0,
403,1,3,3,1,17,1,2025,2029,1,4.930956841,,2,25000,1,5,12,0,
404,1,3,3,1,18,1,2030,2034,1,4.572064877,,2,24000,1,5,12,0,
405,1,3,3,1,19,1,2035,2039,1,4.239294052,,2,24000,1,5,12,0,
406,1,3,3,1,20,1,2040,2044,1,3.930742979,,2,24000,1,5,12,0,
407,1,3,3,1,21,1,2045,,1,3.644649982,,2,24000,1,5,12,0,
410,1,3,2,7,6,1,2005,2008,0,12.58551025,,1,19000,1,5,12,0,
411,1,3,2,7,14,1,2009,2014,0,11.86048985,,1,19000,1,5,12,0,
412,1,3,2,7,15,1,2015,2019,0,10.08244991,,1,19000,1,5,12,0,
413,1,3,2,7,16,1,2020,2024,0,9.348610878,,1,19000,1,5,12,0,
414,1,3,2,7,17,1,2025,2029,0,8.66818428,,1,19000,1,5,12,0,
415,1,3,2,7,18,1,2030,2034,0,8.037284851,,1,19000,1,5,12,0,
416,1,3,2,7,19,1,2035,2039,0,7.452302933,,1,19000,1,5,12,0,
417,1,3,2,7,20,1,2040,2044,0,6.909897804,,1,19000,1,5,12,0,
418,1,3,2,7,21,1,2045,,0,6.406970978,,1,19000,1,5,12,0,
420,1,3,3,14,14,1,2009,2014,0,42.4887619,,1,60000,1,5,12,0,
421,1,3,3,14,15,1,2015,2019,0,38.80501175,,1,60000,1,5,12,0,
422,1,3,3,14,16,1,2020,2024,0,35.98064041,,1,50000,1,5,12,0,
423,1,3,3,14,17,1,2025,2029,0,33.36185074,,1,40000,1,5,12,0,
424,1,3,3,14,18,1,2030,2039,0,30.93366051,,1,40000,1,5,12,0,
425,1,3,3,14,20,1,2040,,0,26.59460068,,1,40000,1,5,12,0,
430,1,3,2,5,4,1,1995,1999,0,10.5657196,,2,22000,1,5,12,0,
431,1,3,2,5,5,1,2000,2004,0,10.73945045,,2,20000,1,5,12,0,
432,1,3,2,5,6,1,2005,2008,0,9.366443634,,2,19000,1,5,12,0,
433,1,3,2,5,14,1,2009,2014,0,8.792318344,,2,19000,1,5,12,0,
434,1,3,2,5,15,1,2015,2019,0,8.030098915,,2,19000,1,5,12,0,
435,1,3,2,5,16,1,2020,2024,0,7.445640087,,2,19000,1,5,12,0,
436,1,3,2,5,17,1,2025,2029,0,6.903719902,,2,19000,1,5,12,0,
437,1,3,2,5,18,1,2030,2034,0,6.40124321,,2,19000,1,5,12,0,
438,1,3,2,5,19,1,2035,2039,0,5.935338974,,2,19000,1,5,12,0,
439,1,3,2,5,20,1,2040,2044,0,5.503345013,,2,19000,1,5,12,0,
440,1,3,2,5,21,1,2045,,0,5.102790833,,2,19000,1,5,12,0,
441,1,3,3,5,4,1,1995,1999,0,11.03108978,,2,26000,1,5,12,0,
442,1,3,3,5,5,1,2000,2004,0,11.73355961,,2,26000,1,5,12,0,
443,1,3,3,5,6,1,2005,2008,0,10.23451996,,2,26000,1,5,12,0,
444,1,3,3,5,14,1,2009,2014,0,9.60627079,,2,26000,1,5,12,0,
445,1,3,3,5,15,1,2015,2019,0,8.773411751,,2,26000,1,5,12,0,
446,1,3,3,5,16,1,2020,2024,0,8.134854317,,2,26000,1,5,12,0,
447,1,3,3,5,17,1,2025,2029,0,7.542769909,,2,26000,1,5,12,0,
448,1,3,3,5,18,1,2030,2034,0,6.993782043,,2,26000,1,5,12,0,
449,1,3,3,5,19,1,2035,2039,0,6.484749794,,2,26000,1,5,12,0,
450,1,3,3,5,20,1,2040,2044,0,6.012766838,,2,26000,1,5,12,0,
451,1,3,3,5,21,1,2045,,0,5.575137138,,2,26000,1,5,12,0,
460,1,3,2,2,6,1,2005,2008,1,3.504153013,,2,28250,1,5,12,0,
461,1,3,2,2,14,1,2009,2014,1,3.305939913,,2,24200,1,5,12,0,
462,1,3,2,2,15,1,2015,2019,1,3.035609961,,2,21600,1,5,12,0,
463,1,3,2,2,16,1,2020,2024,1,2.817372084,,2,21000,1,5,12,0,
464,1,3,2,2,17,1,2025,2029,1,2.612313986,,2,21000,1,5,12,0,
465,1,3,2,2,18,1,2030,2034,1,2.422179937,,2,21000,1,5,12,0,
466,1,3,2,2,19,1,2035,2039,1,2.245884895,,2,21000,1,5,12,0,
467,1,3,2,2,20,1,2040,2044,1,2.082422018,,2,21000,1,5,12,0,
468,1,3,2,2,21,1,2045,,1,1.930855989,,2,21000,1,5,12,0,
470,1,3,3,2,6,1,2005,2008,1,4.497154236,,2,39550,1,5,12,0,
471,1,3,3,2,14,1,2009,2014,1,4.246828079,,2,35750,1,5,12,0,
472,1,3,3,2,15,1,2015,2019,1,3.899432898,,2,32400,1,5,12,0,
473,1,3,3,2,16,1,2020,2024,1,3.619210958,,2,30000,1,5,12,0,
474,1,3,3,2,17,1,2025,2029,1,3.355792046,,2,30000,1,5,12,0,
475,1,3,3,2,18,1,2030,2034,1,3.11154604,,2,30000,1,5,12,0,
476,1,3,3,2,19,1,2035,2039,1,2.885077,,2,30000,1,5,12,0,
477,1,3,3,2,20,1,2040,2044,1,2.675091028,,2,30000,1,5,12,0,
478,1,3,3,2,21,1,2045,,1,2.480387926,,2,30000,1,5,12,0,
480,1,3,2,12,5,1,2000,2004,0,23.81015968,,2,40000,1,5,12,0,
510,1,3,2,12,6,1,2005,2008,0,23.83300018,,2,35000,1,5,12,0,
515,1,3,2,12,14,1,2009,2014,0,22.4348793,,2,30000,1,5,12,0,
520,1,3,1,10,6,1,2005,2008,0,29.0373497,,1,15000,1,5,12,0,
521,1,3,1,10,14,1,2009,2014,0,27.26011086,,1,14000,1,5,12,0,
522,1,3,1,10,15,1,2015,2019,0,24.8968792,,1,13500,1,5,12,0,
523,1,3,1,10,16,1,2020,2024,0,23.08480072,,1,13000,1,5,12,0,
524,1,3,1,10,17,1,2025,2029,0,21.40460968,,1,13000,1,5,12,0,
525,1,3,1,10,18,1,2030,2034,0,19.84671021,,1,13000,1,5,12,0,
526,1,3,1,10,19,1,2035,2039,0,18.40218925,,1,13000,1,5,12,0,
527,1,3,1,10,20,1,2040,2044,0,17.06282043,,1,13000,1,5,12,0,
528,1,3,1,10,21,1,2045,,0,15.82091999,,1,13000,1,5,12,0,
530,1,3,2,10,6,1,2005,2008,0,33.1776619,,1,24000,1,5,12,0,
531,1,3,2,10,14,1,2009,2014,0,31.1470108,,1,22000,1,5,12,0,
532,1,3,2,10,15,1,2015,2019,0,28.44683075,,1,20000,1,5,12,0,
533,1,3,2,10,16,1,2020,2024,0,26.37636948,,1,20000,1,5,12,0,
534,1,3,2,10,17,1,2025,2029,0,24.45660019,,1,20000,1,5,12,0,
535,1,3,2,10,18,1,2030,2034,0,22.67655945,,1,20000,1,5,12,0,
536,1,3,2,10,19,1,2035,2039,0,21.02609062,,1,20000,1,5,12,0,
537,1,3,2,10,20,1,2040,2044,0,19.49574089,,1,20000,1,5,12,0,
538,1,3,2,10,21,1,2045,,0,18.07677078,,1,20000,1,5,12,0,
540,1,3,3,10,6,1,2005,2008,0,40.95214081,,1,32000,1,5,12,0,
541,1,3,3,10,14,1,2009,2014,0,38.44226837,,1,30000,1,5,12,0,
542,1,3,3,10,15,1,2015,2019,0,35.1093483,,1,28000,1,5,12,0,
543,1,3,3,10,16,1,2020,2024,0,32.55397034,,1,27000,1,5,12,0,
544,1,3,3,10,17,1,2025,2029,0,30.18457031,,1,27000,1,5,12,0,
545,1,3,3,10,18,1,2030,2034,0,27.98763084,,1,27000,1,5,12,0,
546,1,3,3,10,19,1,2035,2039,0,25.95059967,,1,27000,1,5,12,0,
547,1,3,3,10,20,1,2040,2044,0,24.06181908,,1,27000,1,5,12,0,
548,1,3,3,10,21,1,2045,,0,22.31052017,,1,27000,1,5,12,0,
550,1,3,1,5,6,1,2005,2008,0,9.547109604,,1,13000,1,5,12,0,
551,1,3,1,5,14,1,2009,2014,0,8.962778091,,1,13000,1,5,12,0,
552,1,3,1,5,15,1,2015,2019,0,8.185777664,,1,12500,1,5,12,0,
553,1,3,1,5,16,1,2020,2024,0,7.589989185,,1,12500,1,5,12,0,
554,1,3,1,5,17,1,2025,2029,0,7.03756094,,1,12500,1,5,12,0,
555,1,3,1,5,18,1,2030,2034,0,6.525342941,,1,12500,1,5,12,0,
556,1,3,1,5,19,1,2035,2039,0,6.050405979,,1,12500,1,5,12,0,
557,1,3,1,5,20,1,2040,2044,0,5.610035896,,1,12500,1,5,12,0,
558,1,3,1,5,21,1,2045,,0,5.201718807,,1,12500,1,5,12,0,
580,1,3,1,12,20,1,2040,2044,0,6.949262142,,2,12000,1,5,12,0,
590,1,3,1,12,3,1,1992,1995,0,12.67842007,,2,35000,1,5,12,0,
600,1,3,1,12,4,1,1996,1999,0,12.68803024,,2,30000,1,5,12,0,
610,1,3,1,12,5,1,2000,2004,0,12.71014977,,2,27500,1,5,12,0,
611,1,3,2,2,14,1,2009,2014,2,3.463614941,22.4348793,1,27500,1,5,12,0,
612,1,3,2,2,15,1,2015,2019,2,3.229392052,20.48995972,1,24300,1,5,12,0,
613,1,3,2,2,16,1,2020,2024,2,2.997426987,18.99863052,1,21000,1,5,12,0,
614,1,3,2,2,17,1,2025,2029,2,2.779263973,17.61584091,1,18900,1,5,12,0,
615,1,3,2,2,18,1,2030,2034,2,2.576980114,16.33370018,1,18900,1,5,12,0,
616,1,3,2,2,19,1,2035,2039,2,2.389417887,15.1448698,1,18900,1,5,12,0,
617,1,3,2,2,20,1,2040,2044,2,2.215507984,14.04257965,1,18900,1,5,12,0,
618,1,3,2,2,21,1,2045,,2,2.083931923,13.02050972,1,18900,1,5,12,0,
620,1,3,1,1,14,1,2009,2014,1,4.34094286,,1,16500,1,5,12,0,
621,1,3,1,1,15,1,2015,2019,1,3.98597908,,1,13500,1,5,12,0,
622,1,3,1,1,16,1,2020,2024,1,3.699417114,,1,12000,1,5,12,0,
623,1,3,1,1,17,1,2025,2029,1,3.430160046,,1,12000,1,5,12,0,
624,1,3,1,1,18,1,2030,2034,1,3.180500984,,1,12000,1,5,12,0,
625,1,3,1,1,19,1,2035,2039,1,2.949012995,,1,12000,1,5,12,0,
626,1,3,1,1,20,1,2040,2044,1,2.734374046,,1,12000,1,5,12,0,
627,1,3,1,1,21,1,2045,,1,2.535356998,,1,12000,1,5,12,0,
630,1,4,11,2,1,1,1980,1993,0,34.6178894,,0,62752,1,10,15,0,
631,1,3,3,2,14,1,2009,2014,2,3.464462042,26.92185974,1,35750,1,5,12,0,
632,1,3,3,2,15,1,2015,2019,2,3.229506969,24.58794975,1,32400,1,5,12,0,
633,1,3,3,2,16,1,2020,2024,2,2.997426987,22.79836082,1,28875,1,5,12,0,
634,1,3,3,2,17,1,2025,2029,2,2.779263973,21.13900948,1,26250,1,5,12,0,
635,1,3,3,2,18,1,2030,2034,2,2.576980114,19.60043907,1,25200,1,5,12,0,
636,1,3,3,2,19,1,2035,2039,2,2.389417887,18.17383957,1,25200,1,5,12,0,
637,1,3,3,2,20,1,2040,2044,2,2.215507984,16.85110092,1,25200,1,5,12,0,
638,1,3,3,2,21,1,2045,,2,2.083931923,15.62460995,1,25200,1,5,12,0,
640,1,4,11,1,7,1,1990,2005,0,17.91052055,,0,62752,1,10,15,0,
641,1,3,3,12,14,1,2009,2014,0,25.78148079,,2,45000,1,5,12,0,
642,1,3,3,12,15,1,2015,2019,0,23.0676403,,2,37500,1,5,12,0,
643,1,3,3,12,16,1,2020,2024,0,21.71072006,,2,28000,1,5,12,0,
644,1,3,3,12,17,1,2025,2029,0,20.35380936,,2,25000,1,5,12,0,
645,1,3,3,12,18,1,2030,2034,0,18.31842041,,2,22000,1,5,12,0,
646,1,3,3,12,19,1,2035,2039,0,16.96150017,,2,22000,1,5,12,0,
647,1,3,3,12,20,1,2040,2044,0,16.28303909,,2,22000,1,5,12,0,
648,1,3,3,12,21,1,2045,,0,14.9261198,,2,22000,1,5,12,0,
650,1,4,11,10,6,1,2005,2009,0,147.3972015,,1,19800,1,10,15,0,
651,1,4,11,10,14,1,2009,2015,0,145.1139069,,1,18975,1,10,15,0,
652,1,4,11,10,15,1,2015,2020,0,140.9246063,,1,18150,1,10,15,0,
653,1,4,11,10,16,1,2020,2025,0,137.4365997,,1,17985,1,10,15,0,
654,1,4,11,10,17,1,2025,2030,0,134.0348969,,1,17820,1,10,15,0,
655,1,4,11,10,18,1,2030,2035,0,130.7173004,,1,17655,1,10,15,0,
656,1,4,11,10,19,1,2035,2040,0,127.4819031,,1,17490,1,10,15,0,
657,1,4,11,10,20,1,2040,2045,0,124.3265991,,1,17325,1,10,15,0,
658,1,4,11,10,21,1,2045,,0,121.2492981,,1,17325,1,10,15,0,
660,1,4,11,5,6,1,2005,2009,0,54.6398201,,1,72164.79688,1,10,15,0,
661,1,4,11,5,14,1,2009,2015,0,47.70053101,,1,69027.20313,1,10,15,0,
662,1,4,11,5,15,1,2015,2020,0,46.32830048,,1,68399.67969,1,10,15,0,
663,1,4,11,5,16,1,2020,2025,0,45.18161011,,1,67772.15625,1,10,15,0,
664,1,4,11,5,17,1,2025,2030,0,44.06332016,,1,67144.64063,1,10,15,0,
665,1,4,11,5,18,1,2030,2035,0,42.97269058,,1,66517.11719,1,10,15,0,
666,1,4,11,5,19,1,2035,2040,0,41.90906143,,1,65889.60156,1,10,15,0,
667,1,4,11,5,20,1,2040,2045,0,40.87176132,,1,65889.60156,1,10,15,0,
668,1,4,11,5,21,1,2045,,0,39.86013031,,1,65889.60156,1,10,15,0,
670,1,4,11,1,8,1,2005,2020,0,16.23444939,,1,62752,1,10,15,0,
675,1,4,11,1,9,1,2020,,0,15.10251045,,1,62752,1,10,15,0,
680,1,4,12,12,6,1,2005,2009,0,102.971199,,2,225000,1,39,15,0,
690,1,4,11,2,14,1,2009,2015,0,29.22495079,,1,62752,1,10,15,0,
691,1,4,11,8,7,1,1990,2005,0,40.61832047,,0,65890,1,10,15,0,
695,1,4,11,2,15,1,2015,2020,0,28.45262909,,1,62752,1,10,15,0,
696,1,4,11,2,16,1,2020,2025,0,27.75616074,,1,62752,1,10,15,0,
697,1,4,11,2,17,1,2025,2030,0,27.06916046,,1,62752,1,10,15,0,
698,1,4,11,2,18,1,2030,2035,0,26.39916039,,1,62752,1,10,15,0,
699,1,4,11,2,19,1,2035,2040,0,25.74575043,,1,62752,1,10,15,0,
700,1,4,11,2,3,1,1992,1996,0,34.5078392,,0,62752,1,10,15,0,
701,1,4,11,2,20,1,2040,2045,0,25.10850906,,1,62752,1,10,15,0,
702,1,4,11,2,21,1,2045,,0,24.48703957,,1,62752,1,10,15,0,
720,1,4,11,2,4,1,1996,2000,0,34.57201004,,0,62752,1,10,15,0,
730,1,4,12,12,14,1,2009,2015,0,98.91369629,,2,199190.875,1,39,15,0,
